year,month,cat_name,location,total_money,total_discount
2017,4,Growlers,The Dram Shop Front St.,1378.99,31.01
2017,4,IPA - Bottled,The Dram Shop Front St.,37.5,0.0
2017,4,IPA - Draught,The Dram Shop Front St.,15206.18,863.57
2017,4,Kombucha,The Dram Shop Front St.,1288.96,19.54
2017,4,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,110.78,1.72
2017,4,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,4332.42,188.58
2017,4,Misc.,The Dram Shop Front St.,72.0,0.0
2017,4,NA - Bottles,The Dram Shop Front St.,0.63,0.62
2017,4,Porters/Stouts - Bottled,The Dram Shop Front St.,53.0,0.0
2017,4,Porters/Stouts - Draught,The Dram Shop Front St.,3858.51,168.74
2017,4,Red Wine - Bottled,The Dram Shop Front St.,100.8,11.2
2017,4,Rosé Wine - Bottled,The Dram Shop Front St.,55.5,3.5
2017,4,Seasonal/Event,The Dram Shop Front St.,2702.17,92.33
2017,4,Snacks,The Dram Shop Front St.,300.23,7.27
2017,4,Soda - Bottled,The Dram Shop Front St.,19.25,1.25
2017,4,Soda - Draught,The Dram Shop Front St.,512.58,19.67
2017,4,Softgoods,The Dram Shop Front St.,130.0,0.0
2017,4,Sour - Bottled,The Dram Shop Front St.,147.5,13.0
2017,4,Sour - Draught,The Dram Shop Front St.,4785.07,138.68
2017,4,Sparkling Wine - Bottled,The Dram Shop Front St.,12.75,4.25
2017,4,Tastings,The Dram Shop Front St.,522.0,0.0
2017,4,White Wine - Bottled,The Dram Shop Front St.,20.0,0.0
2017,4,Wine - Bottled,The Dram Shop Front St.,461.24,18.76
2017,4,Wine - Draught,The Dram Shop Front St.,2995.17,84.33
2017,5,,The Dram Shop Front St.,4116.32,551.43
2017,5,Ambers/Pales - Bottled,The Dram Shop Front St.,57.0,0.0
2017,5,Ambers/Pales - Draught,The Dram Shop Front St.,6179.88,551.12
2017,5,Barley Wine - Bottled,The Dram Shop Front St.,27.25,0.0
2017,5,Belgian - Bottled,The Dram Shop Front St.,15.43,2.57
2017,5,Belgian - Draught,The Dram Shop Front St.,1154.83,90.17
