clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Dry Hopped Pear,2017,2,The Dram Shop Front St.,224.0,30,32.0,7.02,6.5
Duchesse De Bourgogne,2017,2,The Dram Shop Front St.,878.85,67,87.0,10.4,9.0
Duchesse De Bourgogne Flanders Red,2017,2,The Dram Shop Front St.,24.0,2,4.0,6.0,6.0
Firestone Walker Agrestic,2017,2,The Dram Shop Front St.,26.0,2,2.0,13.0,13.0
Fortess Rock Imp. Choc. Oatmeal Stout,2017,2,The Dram Shop Front St.,80.18,9,9.0,9.14,7.0
Freedom Fighter,2017,2,The Dram Shop Front St.,398.59,48,61.0,6.67,5.5
Fritz Muller Sparkling Rose,2017,2,The Dram Shop Front St.,17.0,1,1.0,17.0,17.0
Galaxy in the Rye,2017,2,The Dram Shop Front St.,442.75,73,93.0,5.3,5.0
Glutiny Pale,2017,2,The Dram Shop Front St.,8.0,2,2.0,4.0,4.0
Good Trip,2017,2,The Dram Shop Front St.,130.75,19,21.0,6.26,5.5
Gran Passione Rosso,2017,2,The Dram Shop Front St.,206.78,28,29.0,7.21,7.0
Grand Teton - American Sour,2017,2,The Dram Shop Front St.,45.5,5,5.0,9.1,7.5
Grapefruit Radler,2017,2,The Dram Shop Front St.,13.0,2,4.0,3.25,3.25
Grave Creek IPA,2017,2,The Dram Shop Front St.,362.45,60,71.0,5.39,5.0
Green Flash Imperial IPA,2017,2,The Dram Shop Front St.,27.25,3,3.0,10.0,11.0
Grumpy Bear Coffee Nitro Cider,2017,2,The Dram Shop Front St.,462.85,77,98.0,4.93,5.0
Gruner Vetliner,2017,2,The Dram Shop Front St.,24.0,2,3.0,8.0,8.0
Guy on a Buffalo Coffee Stout,2017,2,The Dram Shop Front St.,500.18,99,118.0,4.56,4.5
Hoegaarden,2017,2,The Dram Shop Front St.,97.25,16,17.0,5.73,5.5
Hopportunity Knocks IPA,2017,2,The Dram Shop Front St.,811.59,149,172.0,5.01,5.0
Hops,2017,2,The Dram Shop Front St.,412.6,74,89.0,5.13,5.0
Huckleberry Wheat,2017,2,The Dram Shop Front St.,663.5,111,132.0,5.26,5.0
IPA,2017,2,The Dram Shop Front St.,547.76,99,128.0,4.71,4.5
Imperial Dark Ale,2017,2,The Dram Shop Front St.,124.75,21,22.0,5.67,5.5
Irish Red,2017,2,The Dram Shop Front St.,99.61,20,25.0,4.48,4.0
Isabella Sparkling Wine,2017,2,The Dram Shop Front St.,390.04,41,49.0,8.0,8.0
Ivan NITRO,2017,2,The Dram Shop Front St.,316.86,67,73.0,4.79,5.0
Jack's 90 Scottish Ale,2017,2,The Dram Shop Front St.,386.71,68,80.0,4.89,4.5
Jane Goodale,2017,2,The Dram Shop Front St.,550.36,74,85.0,6.6,6.0
Julian's,2017,2,The Dram Shop Front St.,10.0,1,1.0,10.0,10.0
Kasteel Rouge,2017,2,The Dram Shop Front St.,8.0,1,1.0,8.0,8.0
Kolsch,2017,2,The Dram Shop Front St.,744.43,93,119.0,6.51,6.0
Krieky Bones,2017,2,The Dram Shop Front St.,39.0,3,3.0,13.0,13.0
"Lawyers, Guns, and Money",2017,2,The Dram Shop Front St.,25.25,5,7.0,3.75,3.25
Le Brun Brut,2017,2,The Dram Shop Front St.,8.0,1,1.0,8.0,8.0
Le Brun Organic Demi Sec,2017,2,The Dram Shop Front St.,9.0,1,1.0,9.0,9.0
Le Trappe - Tripel,2017,2,The Dram Shop Front St.,9.1,1,1.0,13.0,13.0
Lil Opal,2017,2,The Dram Shop Front St.,68.0,4,4.0,17.0,13.0
Lockhorn Grapefruit Mint Cider,2017,2,The Dram Shop Front St.,140.0,15,24.0,5.89,6.0
Lockhorn Hops,2017,2,The Dram Shop Front St.,287.48,42,46.0,6.41,6.0
Lucifer,2017,2,The Dram Shop Front St.,14.0,2,3.0,14.0,14.0
Lumberjack Rhubarb,2017,2,The Dram Shop Front St.,132.0,22,25.0,5.28,5.0
Lumbersexual Scotch Ale,2017,2,The Dram Shop Front St.,484.02,93,105.0,4.78,4.5
Luponic Distortion IPA,2017,2,The Dram Shop Front St.,1203.54,194,234.0,5.49,5.0
Mark Clark's Hommelbeir,2017,2,The Dram Shop Front St.,38.2,8,8.0,5.75,5.0
Megawheat,2017,2,The Dram Shop Front St.,564.27,83,92.0,6.38,6.0
Mischief Maker,2017,2,The Dram Shop Front St.,557.92,94,111.0,5.22,5.0
Modelo,2017,2,The Dram Shop Front St.,22.19,5,7.0,4.0,4.0
Mt. Baldy,2017,2,The Dram Shop Front St.,453.77,74,84.0,5.54,5.0
NITRO Merlin Milk Stout,2017,2,The Dram Shop Front St.,509.06,95,112.0,4.72,5.0
NITRO shake Chocolate Porter,2017,2,The Dram Shop Front St.,245.0,45,51.0,4.79,5.0
New Moon Mandarin,2017,2,The Dram Shop Front St.,80.75,12,15.0,5.77,6.0
Nitro Double Chocolate Stout,2017,2,The Dram Shop Front St.,562.05,94,107.0,5.32,5.5
Not your Fathers Root Beer ALCOHOL,2017,2,The Dram Shop Front St.,8.0,2,2.0,4.0,4.0
Ole Gus Scotch,2017,2,The Dram Shop Front St.,338.72,60,69.0,5.23,4.5
Omission IPA,2017,2,The Dram Shop Front St.,21.0,4,6.0,3.5,3.5
Omission Lager,2017,2,The Dram Shop Front St.,7.0,2,2.0,3.5,3.5
Otra Vez,2017,2,The Dram Shop Front St.,8.75,3,3.0,3.5,3.5
Oud Bruin,2017,2,The Dram Shop Front St.,63.64,9,11.0,6.0,6.0
Oude Gueuze,2017,2,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Ovila,2017,2,The Dram Shop Front St.,14.0,1,1.0,20.0,20.0
Pacifico Clara,2017,2,The Dram Shop Front St.,429.5,79,104.0,4.52,4.5
Painted Rock Porter,2017,2,The Dram Shop Front St.,497.28,76,88.0,5.74,5.5
Peregrine Ranch Chenin Blanc,2017,2,The Dram Shop Front St.,402.21,43,50.0,8.22,8.0
Peroni,2017,2,The Dram Shop Front St.,455.89,82,96.0,5.32,5.0
Petrus 80/20,2017,2,The Dram Shop Front St.,534.35,55,62.0,8.74,9.0
Pilsner Urquell,2017,2,The Dram Shop Front St.,172.25,26,31.0,5.62,5.0
Pineapple Express,2017,2,The Dram Shop Front St.,336.0,41,58.0,5.85,5.5
Pinkus Organic Weizen,2017,2,The Dram Shop Front St.,30.91,5,6.0,5.6,6.0
Piraat,2017,2,The Dram Shop Front St.,0.0,1,1.0,15.0,15.0
Poor Farmer,2017,2,The Dram Shop Front St.,539.19,77,108.0,5.48,5.0
"Proletariat GSM (Grenache, Syrah, Mourvedre)",2017,2,The Dram Shop Front St.,1023.77,87,115.0,9.09,8.5
Prosecco,2017,2,The Dram Shop Front St.,5.0,1,1.0,5.0,5.0
Queen City Pale,2017,2,The Dram Shop Front St.,500.83,107,116.0,4.57,4.5
Quilters Irish Death Stout,2017,2,The Dram Shop Front St.,4.5,1,1.0,4.5,4.5
Ripper,2017,2,The Dram Shop Front St.,1467.14,275,325.0,4.79,4.5
Roshambo Pale,2017,2,The Dram Shop Front St.,315.73,56,61.0,5.63,5.0
Rosé,2017,2,The Dram Shop Front St.,19.0,1,1.0,19.0,19.0
Rye Amber,2017,2,The Dram Shop Front St.,308.47,71,79.0,4.49,4.0
Saison DuPont,2017,2,The Dram Shop Front St.,34.8,3,3.0,14.0,12.0
Saison DuPont Farmhouse Ale,2017,2,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
Santa Julia Malbec Reserva,2017,2,The Dram Shop Front St.,636.73,72,83.0,7.77,7.5
Schneider Wiesse,2017,2,The Dram Shop Front St.,21.0,3,3.0,7.0,7.0
Selkirk Abbey,2017,2,The Dram Shop Front St.,11.2,1,1.0,16.0,16.0
Sexy Tractor,2017,2,The Dram Shop Front St.,557.02,76,89.0,6.36,6.0
Shake a Day,2017,2,The Dram Shop Front St.,690.47,112,148.0,4.97,4.5
Shane McConkey,2017,2,The Dram Shop Front St.,448.87,104,114.0,4.16,4.0
Shiver Me Timbers,2017,2,The Dram Shop Front St.,1.75,1,1.0,3.5,3.5
Sidecar Orange Pale,2017,2,The Dram Shop Front St.,152.0,28,34.0,4.52,4.0
Siracha Spicy Stout,2017,2,The Dram Shop Front St.,33.0,3,3.0,11.0,11.0
Slow Elk Oatmeal Stout,2017,2,The Dram Shop Front St.,516.01,98,110.0,4.84,5.0
Small Batch Spartan Dry,2017,2,The Dram Shop Front St.,9.0,1,1.0,9.0,9.0
Space Dust,2017,2,The Dram Shop Front St.,1058.82,132,180.0,6.0,5.5
Sparkling Brut Rosé,2017,2,The Dram Shop Front St.,12.75,1,1.0,17.0,17.0
Spiritous Smoke Rauchbier,2017,2,The Dram Shop Front St.,190.08,39,43.0,4.8,4.5
Tall Boy,2017,2,The Dram Shop Front St.,9.0,2,3.0,3.0,3.0
Tami Grillo,2017,2,The Dram Shop Front St.,13.5,1,1.0,18.0,18.0
Tart Lychee,2017,2,The Dram Shop Front St.,35.53,2,2.0,19.5,14.0
Tavola Pinot Noir,2017,2,The Dram Shop Front St.,243.0,6,10.0,27.0,27.0
Toasted Coconut Porter,2017,2,The Dram Shop Front St.,18.0,2,2.0,9.0,7.0
Underwood Rose,2017,2,The Dram Shop Front St.,12.0,1,2.0,6.0,6.0
Union Jack IPA,2017,2,The Dram Shop Front St.,418.54,65,83.0,5.23,5.0
Vanilla Porter,2017,2,The Dram Shop Front St.,1357.74,248,277.0,5.33,5.0
White Cinq Cents Trippl,2017,2,The Dram Shop Front St.,36.0,2,2.0,18.0,18.0
3 Letter Acronym,2017,1,The Dram Shop Front St.,176.25,27,32.0,5.89,5.5
369' Nitro Stout,2017,1,The Dram Shop Front St.,403.87,72,80.0,5.3,5.5
3rd Virtue Tripel,2017,1,The Dram Shop Front St.,103.75,15,17.0,6.1,5.5
Agrestic,2017,1,The Dram Shop Front St.,238.03,24,26.0,9.59,9.5
Ambitious Lager,2017,1,The Dram Shop Front St.,342.36,59,74.0,4.8,4.5
American Sour,2017,1,The Dram Shop Front St.,59.12,7,7.0,8.71,8.0
Avatar Jasmine IPA,2017,1,The Dram Shop Front St.,307.03,52,66.0,4.86,4.5
Barmy Golden,2017,1,The Dram Shop Front St.,2.75,1,1.0,2.75,2.75
Barrel Aged Black Cauldron,2017,1,The Dram Shop Front St.,178.0,17,19.0,9.53,8.0
Beetlekill Brown,2017,1,The Dram Shop Front St.,203.08,37,42.0,5.11,5.0
Belial Sangiovese,2017,1,The Dram Shop Front St.,481.16,53,68.0,7.3,7.0
Bigfoot Barleywine,2017,1,The Dram Shop Front St.,6.5,1,1.0,6.5,6.5
Bitch Creek,2017,1,The Dram Shop Front St.,528.88,112,124.0,4.41,4.5
Black Steer's Tookus,2017,1,The Dram Shop Front St.,132.79,29,34.0,4.22,4.5
Blackberry Sour,2017,1,The Dram Shop Front St.,140.75,19,24.0,6.17,5.0
Blackfoot Single Malt IPA,2017,1,The Dram Shop Front St.,2745.99,395,535.0,5.55,5.0
Blood Orange Heffe,2017,1,The Dram Shop Front St.,10.29,3,3.0,4.5,4.5
Bloom,2017,1,The Dram Shop Front St.,16.0,2,2.0,8.0,6.0
Boulder Peak Nut Brown,2017,1,The Dram Shop Front St.,475.51,95,102.0,4.79,4.5
Bourbon Barrel Aged Scotch Ale,2017,1,The Dram Shop Front St.,26.0,3,3.0,9.0,9.0
Bourbon Barrel Mogli Imperial Porter,2017,1,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
Bourbon Barrel Willie's Stout,2017,1,The Dram Shop Front St.,39.27,12,12.0,4.31,4.5
Bourbon Imperial Stout,2017,1,The Dram Shop Front St.,283.21,36,40.0,7.09,7.5
Brut Sparkling Cider,2017,1,The Dram Shop Front St.,16.0,1,1.0,16.0,16.0
Bullbucker ESB,2017,1,The Dram Shop Front St.,500.75,84,98.0,5.48,5.0
BuzzKill Java Stout,2017,1,The Dram Shop Front St.,158.5,25,35.0,4.82,4.5
Cabernet Sauvignon,2017,1,The Dram Shop Front St.,1010.1,108,142.0,7.7,7.5
Camp Misery Imperial Stout,2017,1,The Dram Shop Front St.,324.71,40,40.0,8.28,7.5
Celebration,2017,1,The Dram Shop Front St.,37.0,6,9.0,4.56,4.0
Chair 4 IPA,2017,1,The Dram Shop Front St.,274.19,54,66.0,4.37,4.0
Chakalaka Red Blend,2017,1,The Dram Shop Front St.,119.7,6,7.0,19.0,19.0
Chardonnay & Friulano,2017,1,The Dram Shop Front St.,299.56,39,43.0,7.1,7.0
Cherry Anthem,2017,1,The Dram Shop Front St.,530.99,96,108.0,5.18,5.0
Chocolate Cherry Stout,2017,1,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
Clos de fontaine hugo cidre de thie,2017,1,The Dram Shop Front St.,46.0,3,3.0,15.33,12.0
Clutch,2017,1,The Dram Shop Front St.,635.93,100,109.0,5.98,5.5
Coors N/A,2017,1,The Dram Shop Front St.,9.0,2,3.0,3.0,3.0
Cosmic Ristretto,2017,1,The Dram Shop Front St.,61.5,7,8.0,7.93,6.0
Crabbies,2017,1,The Dram Shop Front St.,4.0,1,1.0,4.0,4.0
Cranberry Gose,2017,1,The Dram Shop Front St.,526.83,89,95.0,5.65,5.5
Dashwood Sauvignon Blanc,2017,1,The Dram Shop Front St.,38.5,3,3.0,14.0,14.0
Daytime,2017,1,The Dram Shop Front St.,362.11,61,74.0,5.41,5.0
De Silly Burgundy Barrel Aged Scotch,2017,1,The Dram Shop Front St.,18.0,4,4.0,6.75,4.5
Delirium Tremens,2017,1,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Denali Session IPA,2017,1,The Dram Shop Front St.,384.07,63,85.0,4.7,4.5
Dissident,2017,1,The Dram Shop Front St.,19.0,1,1.0,19.0,19.0
Dixon Melon Gose,2017,1,The Dram Shop Front St.,516.79,84,92.0,5.65,5.5
Double Bastard,2017,1,The Dram Shop Front St.,302.35,35,45.0,6.8,6.0
Duchesse De Bourgogne,2017,1,The Dram Shop Front St.,236.39,24,27.0,9.0,9.0
El Dorado,2017,1,The Dram Shop Front St.,519.73,96,119.0,4.6,4.5
Enjoy By 10.31.22,2017,1,The Dram Shop Front St.,528.57,79,95.0,5.97,6.0
Firestone Walker Agrestic,2017,1,The Dram Shop Front St.,13.0,1,1.0,13.0,13.0
Flash Flood Milk Stout,2017,1,The Dram Shop Front St.,112.84,23,29.0,4.03,4.0
Fond Tradition Sour,2017,1,The Dram Shop Front St.,11.0,1,1.0,11.0,11.0
Force Celeste Chenin Blanc,2017,1,The Dram Shop Front St.,48.6,3,3.0,18.0,18.0
Fritz Muller Sparkling Rose,2017,1,The Dram Shop Front St.,30.6,1,2.0,17.0,17.0
Galaxy in the Rye,2017,1,The Dram Shop Front St.,12.72,4,4.0,5.0,5.0
Glutiny Pale,2017,1,The Dram Shop Front St.,8.0,2,2.0,4.0,4.0
Golden IPA,2017,1,The Dram Shop Front St.,388.86,89,102.0,4.08,4.0
Golden Russet,2017,1,The Dram Shop Front St.,6.0,1,1.0,6.0,6.0
Golden Spike,2017,1,The Dram Shop Front St.,1033.51,177,210.0,5.3,5.0
Good Medicine,2017,1,The Dram Shop Front St.,259.68,49,57.0,4.67,4.5
Gran Passione Rosso,2017,1,The Dram Shop Front St.,142.65,19,21.0,7.43,7.0
Grand Teton - American Sour,2017,1,The Dram Shop Front St.,15.0,1,2.0,7.5,7.5
Grapefruit Radler,2017,1,The Dram Shop Front St.,19.5,1,6.0,3.25,3.25
Green Flash Imperial IPA,2017,1,The Dram Shop Front St.,19.0,2,2.0,9.5,8.0
Groomer,2017,1,The Dram Shop Front St.,455.26,93,111.0,4.21,4.0
Gruner Veltliner,2017,1,The Dram Shop Front St.,21.0,3,3.0,7.0,7.0
Gruner Vetliner,2017,1,The Dram Shop Front St.,573.34,44,68.0,8.8,8.0
Habanero Cider,2017,1,The Dram Shop Front St.,9.0,1,1.0,9.0,9.0
Habanero Sculpin,2017,1,The Dram Shop Front St.,303.9,62,71.0,4.49,4.5
Hippy Highway,2017,1,The Dram Shop Front St.,123.72,28,30.0,4.61,4.5
Hop Hash IPA,2017,1,The Dram Shop Front St.,495.55,73,93.0,5.55,5.0
Hops,2017,1,The Dram Shop Front St.,242.77,44,54.0,4.84,5.0
Hopzone IPA,2017,1,The Dram Shop Front St.,145.0,17,35.0,4.19,4.0
IPA,2017,1,The Dram Shop Front St.,435.25,60,90.0,5.04,4.5
Imperial Citrus,2017,1,The Dram Shop Front St.,171.03,26,37.0,4.99,5.0
Imperial Dark Ale,2017,1,The Dram Shop Front St.,413.06,68,79.0,5.36,5.5
Isabella Sparkling Wine,2017,1,The Dram Shop Front St.,522.74,48,66.0,8.0,8.0
Jack's 90 Scottish Ale,2017,1,The Dram Shop Front St.,99.35,20,29.0,4.5,4.5
Joe IPA,2017,1,The Dram Shop Front St.,389.74,71,89.0,4.72,4.5
Kihei Snow,2017,1,The Dram Shop Front St.,502.66,73,86.0,5.92,5.5
Knotty Knotty Latte Stout,2017,1,The Dram Shop Front St.,116.08,28,30.0,4.07,4.0
Kolsch,2017,1,The Dram Shop Front St.,286.08,36,47.0,6.56,6.0
"Lawyers, Guns, and Money",2017,1,The Dram Shop Front St.,6.5,1,2.0,3.25,3.25
Le Brun Brut,2017,1,The Dram Shop Front St.,16.0,1,2.0,8.0,8.0
Le Cygne Bier De Garde,2017,1,The Dram Shop Front St.,460.55,60,65.0,7.46,7.5
Lil Opal,2017,1,The Dram Shop Front St.,26.0,2,2.0,13.0,13.0
Lockhorn,2017,1,The Dram Shop Front St.,8.0,1,2.0,4.0,4.0
Lockhorn Grapefruit Mint Cider,2017,1,The Dram Shop Front St.,6.0,1,1.0,6.0,6.0
Lumberjack Rhubarb,2017,1,The Dram Shop Front St.,464.72,85,101.0,4.88,5.0
Luponic Distortion IPA,2017,1,The Dram Shop Front St.,1455.56,212,291.0,5.32,5.0
Malachai's Frostbite,2017,1,The Dram Shop Front St.,126.49,28,33.0,4.5,4.5
Mayador Natural Cider,2017,1,The Dram Shop Front St.,15.0,2,2.0,7.5,7.5
Mcintosh,2017,1,The Dram Shop Front St.,9.0,1,1.0,9.0,9.0
Megawheat,2017,1,The Dram Shop Front St.,18.0,3,3.0,6.0,6.0
Morellino di Scansano Ciliegiolo,2017,1,The Dram Shop Front St.,40.75,5,5.0,9.4,11.0
Mountain Man Scotch,2017,1,The Dram Shop Front St.,335.78,64,72.0,4.88,4.5
Mt. Baldy,2017,1,The Dram Shop Front St.,92.61,14,18.0,5.61,5.0
Mt. McGinnis Mist Scotch,2017,1,The Dram Shop Front St.,482.86,80,89.0,5.68,5.0
NITRO Merlin Milk Stout,2017,1,The Dram Shop Front St.,471.78,84,104.0,4.73,5.0
NITRO shake Chocolate Porter,2017,1,The Dram Shop Front St.,973.63,174,214.0,4.94,5.0
Northfork,2017,1,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Omission Lager,2017,1,The Dram Shop Front St.,3.5,1,1.0,3.5,3.5
Oscar Blues IPA,2017,1,The Dram Shop Front St.,34.59,7,8.0,4.91,4.5
Ovila,2017,1,The Dram Shop Front St.,0.0,1,1.0,20.0,20.0
Pacifico Clara,2017,1,The Dram Shop Front St.,6.7,2,2.0,4.5,4.5
Painted Rock Porter,2017,1,The Dram Shop Front St.,66.75,10,10.0,6.67,5.5
Peach Wheat,2017,1,The Dram Shop Front St.,529.78,84,106.0,5.24,5.0
Pear Cider,2017,1,The Dram Shop Front St.,554.09,94,108.0,5.29,5.0
Peregrine Grenache,2017,1,The Dram Shop Front St.,9.75,1,1.0,13.0,13.0
Petit Verdot Rose',2017,1,The Dram Shop Front St.,37.8,2,3.0,14.0,14.0
Pilsner Urquell,2017,1,The Dram Shop Front St.,237.81,35,51.0,5.28,5.0
Pineapple Express,2017,1,The Dram Shop Front St.,256.28,39,42.0,6.28,5.5
Pinkus Organic Weizen,2017,1,The Dram Shop Front St.,4.0,1,1.0,4.0,4.0
Pinotage,2017,1,The Dram Shop Front St.,108.0,5,6.0,20.0,20.0
Pioneer Porter,2017,1,The Dram Shop Front St.,421.06,89,103.0,4.26,4.0
Pivo Hoppy Pils,2017,1,The Dram Shop Front St.,377.31,64,78.0,5.15,5.0
Pomona's Nectar,2017,1,The Dram Shop Front St.,16.0,1,1.0,16.0,16.0
Powder Hound,2017,1,The Dram Shop Front St.,69.27,13,17.0,4.37,4.5
Quilters Irish Death Stout,2017,1,The Dram Shop Front St.,4.5,1,1.0,4.5,4.5
Ring Shank,2017,1,The Dram Shop Front St.,81.89,16,18.0,4.99,4.5
Ripper,2017,1,The Dram Shop Front St.,67.24,17,22.0,4.29,4.5
Rocking Horse Black IPA,2017,1,The Dram Shop Front St.,62.29,13,14.0,4.89,4.5
Rosé Cider,2017,1,The Dram Shop Front St.,419.94,59,66.0,6.48,6.0
Samuel Smith's Organic Cider,2017,1,The Dram Shop Front St.,3.0,1,1.0,3.0,3.0
Sexy Tractor,2017,1,The Dram Shop Front St.,161.3,23,27.0,6.12,6.0
Shake a Day,2017,1,The Dram Shop Front St.,184.88,35,44.0,4.83,4.5
Shane McConkey,2017,1,The Dram Shop Front St.,509.49,101,138.0,3.88,4.0
Shiver Me Timbers,2017,1,The Dram Shop Front St.,823.77,97,115.0,7.26,7.0
Sidecar Orange Pale,2017,1,The Dram Shop Front St.,292.49,60,77.0,4.0,4.0
Sidra Style Cider,2017,1,The Dram Shop Front St.,16.71,2,2.0,9.0,9.0
Skinny Cow IPA,2017,1,The Dram Shop Front St.,482.33,86,109.0,4.6,4.5
Slow Elk Oatmeal Stout,2017,1,The Dram Shop Front St.,40.68,10,12.0,5.0,5.0
Small Batch Spartan Dry,2017,1,The Dram Shop Front St.,14.0,1,1.0,14.0,14.0
Snow Ghost,2017,1,The Dram Shop Front St.,192.02,39,47.0,4.6,4.5
Split Shot Espresso Milk Stout,2017,1,The Dram Shop Front St.,400.61,79,87.0,4.88,4.5
Ten FIDY,2017,1,The Dram Shop Front St.,309.37,31,34.0,9.45,10.5
The Abyss,2017,1,The Dram Shop Front St.,327.6,43,48.0,6.94,7.5
The Gatherer,2017,1,The Dram Shop Front St.,144.05,27,30.0,5.23,5.0
Toasted Coconut Porter,2017,1,The Dram Shop Front St.,21.0,3,3.0,7.0,7.0
Tramway Rye,2017,1,The Dram Shop Front St.,380.34,69,81.0,4.87,4.5
Tropical Andsoit Gose,2017,1,The Dram Shop Front St.,187.25,31,38.0,5.14,5.0
Tropical IPA,2017,1,The Dram Shop Front St.,461.8,97,107.0,4.68,4.5
Underwood Rose,2017,1,The Dram Shop Front St.,10.0,1,1.0,10.0,10.0
Union Jack IPA,2017,1,The Dram Shop Front St.,30.81,6,8.0,5.0,5.0
Upslope IPA,2017,1,The Dram Shop Front St.,1.13,1,1.0,2.25,2.25
Victory at Sea,2017,1,The Dram Shop Front St.,30.0,3,5.0,6.0,6.0
Voodoo Ranger,2017,1,The Dram Shop Front St.,393.69,76,98.0,4.39,4.0
XXVI Anniversary Ale,2017,1,The Dram Shop Front St.,137.25,8,13.0,10.69,9.0
Yaak Attack IPA,2017,1,The Dram Shop Front St.,201.82,38,44.0,5.2,5.0
Yellow Sally,2017,1,The Dram Shop Front St.,401.19,93,107.0,4.04,4.0
Yellow Snow,2017,1,The Dram Shop Front St.,5.5,1,1.0,5.5,5.5
Z Domaine Giacometti Patrimonio Rouge (Niellucciu,2017,1,The Dram Shop Front St.,19.0,1,1.0,19.0,19.0
14th Ann. Emperial IPA,2016,12,The Dram Shop Front St.,24.75,3,3.0,8.25,8.25
Agrestic,2016,12,The Dram Shop Front St.,66.25,5,6.0,11.04,9.5
Alpha Imperial IPA,2016,12,The Dram Shop Front St.,12.0,1,2.0,6.0,6.0
Alpine Wheat,2016,12,The Dram Shop Front St.,388.71,80,97.0,4.1,4.0
Ambitious Lager,2016,12,The Dram Shop Front St.,93.0,15,20.0,5.01,4.5
American Sour,2016,12,The Dram Shop Front St.,8.0,1,1.0,8.0,8.0
Amstel Light,2016,12,The Dram Shop Front St.,12.5,5,10.0,2.82,3.0
BEER FLOAT,2016,12,The Dram Shop Front St.,164.0,31,41.0,4.0,4.0
Barmy Golden,2016,12,The Dram Shop Front St.,75.92,12,13.0,5.92,5.5
Belgian Pale,2016,12,The Dram Shop Front St.,341.47,66,80.0,4.54,4.5
Belial Sangiovese,2016,12,The Dram Shop Front St.,231.65,31,33.0,7.34,7.0
Ben & Jerry's Cookie Dough,2016,12,The Dram Shop Front St.,250.0,51,56.0,4.51,4.0
Blackfoot Single Malt IPA,2016,12,The Dram Shop Front St.,2166.63,293,378.0,6.02,5.0
Bordeax Blend merlot/Cab Franc,2016,12,The Dram Shop Front St.,1266.19,107,144.0,9.09,8.5
Boulder Peak Nut Brown,2016,12,The Dram Shop Front St.,4.5,1,1.0,4.5,4.5
Bourbon Barrel Aged Scotch Ale,2016,12,The Dram Shop Front St.,78.75,7,9.0,9.0,9.0
Bourbon Barrel Mogli Imperial Porter,2016,12,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
Bourbon County Barrel Aged COFFEE Stout,2016,12,The Dram Shop Front St.,100.0,8,10.0,10.0,10.0
CHAMPAGNE,2016,12,The Dram Shop Front St.,37.8,1,1.0,42.0,42.0
Cabernet Sauvignon,2016,12,The Dram Shop Front St.,7.5,1,1.0,7.5,7.5
Camp Misery Imperial Stout,2016,12,The Dram Shop Front St.,361.58,37,43.0,8.63,7.5
Celebration,2016,12,The Dram Shop Front St.,711.01,135,169.0,4.36,4.0
Chair 4 IPA,2016,12,The Dram Shop Front St.,380.93,75,95.0,4.35,4.0
Chardonnay & Friulano,2016,12,The Dram Shop Front St.,164.8,18,22.0,7.63,7.0
"Chateau Argadens Merlot, Cab Sauv, Cab Franc",2016,12,The Dram Shop Front St.,61.0,6,7.0,10.0,8.0
Chealsea's Porter,2016,12,The Dram Shop Front St.,4.0,1,1.0,4.0,4.0
Chelsea Choc. Porter,2016,12,The Dram Shop Front St.,344.92,75,87.0,4.34,4.0
Cherry Anthem,2016,12,The Dram Shop Front St.,970.32,151,186.0,5.33,5.0
Chocolate Cherry Stout,2016,12,The Dram Shop Front St.,36.0,2,2.0,18.0,18.0
Christmas Jam,2016,12,The Dram Shop Front St.,341.94,58,73.0,5.07,4.5
Cliffside Lager,2016,12,The Dram Shop Front St.,6.75,2,2.0,3.38,2.25
Clos de fontaine hugo cidre de thie,2016,12,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Colter Coffee Porter,2016,12,The Dram Shop Front St.,171.99,40,42.0,4.45,4.5
Coors N/A,2016,12,The Dram Shop Front St.,6.0,2,2.0,3.0,3.0
Cosmic Ristretto,2016,12,The Dram Shop Front St.,405.71,53,58.0,7.03,6.0
Cotes Du Rhone Cairanne,2016,12,The Dram Shop Front St.,86.4,3,4.0,24.0,24.0
Cranberry Gose,2016,12,The Dram Shop Front St.,624.76,91,115.0,5.6,5.5
Darby Pub Cider,2016,12,The Dram Shop Front St.,18.0,2,2.0,9.0,9.0
De Achste Hond Peach Sour,2016,12,The Dram Shop Front St.,531.09,73,91.0,5.98,5.5
De Konnick Flowering Citrus,2016,12,The Dram Shop Front St.,506.82,86,95.0,5.52,5.5
De Silly Burgundy Barrel Aged Scotch,2016,12,The Dram Shop Front St.,461.27,43,48.0,9.67,9.0
DeRailed IPA,2016,12,The Dram Shop Front St.,709.45,133,156.0,5.0,5.0
Delirium Nocturnum Belgian Ale,2016,12,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Delirium Tremens,2016,12,The Dram Shop Front St.,12.0,1,1.0,12.0,12.0
Dixon Melon Gose,2016,12,The Dram Shop Front St.,573.51,96,104.0,5.66,5.5
Double Bastard,2016,12,The Dram Shop Front St.,341.82,50,59.0,6.11,6.0
