clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Sky Kraken,2023,10,The Dram Shop Central,135.57,17,26.0,5.27,5.5
Smoke Chaser Porter,2023,10,The Dram Shop Central,191.0,26,33.0,5.88,6.0
Snorkel,2023,10,The Dram Shop Front St.,108.75,14,15.0,7.25,7.5
Sommariva Prosecco,2023,10,The Dram Shop Central,21.0,1,1.0,21.0,21.0
Space Dust,2023,10,The Dram Shop Central,379.53,58,72.0,5.67,6.0
Sprinkles on Top Chilled Red,2023,10,The Dram Shop Front St.,63.0,2,2.0,31.5,31.5
Squashtoberfest,2023,10,The Dram Shop Front St.,184.99,25,30.0,6.18,6.0
Squeezy Rider IPA,2023,10,The Dram Shop Front St.,41.25,6,18.0,2.5,2.5
St. Bernardus Abt 12 Quadruple,2023,10,The Dram Shop Central,17.0,1,1.0,17.0,17.0
Stekar,2023,10,The Dram Shop Front St.,22.0,1,1.0,22.0,22.0
Stone IPA,2023,10,The Dram Shop Central,26.25,4,6.0,4.55,5.5
Sultana of Swing,2023,10,The Dram Shop Central,299.6,32,42.0,7.18,7.0
Super Pils,2023,10,The Dram Shop Central,550.71,79,111.0,5.28,5.5
Superdelic Kush,2023,10,The Dram Shop Central,409.3,59,67.0,6.41,6.0
Swimming Hole Saison,2023,10,The Dram Shop Front St.,302.17,40,44.0,7.15,7.5
Syrah,2023,10,The Dram Shop Central,338.0,25,46.0,8.0,8.0
Tandem Double IPA,2023,10,The Dram Shop Central,550.71,71,97.0,5.76,5.5
Tangerine Wheat,2023,10,The Dram Shop Central,419.0,56,79.0,5.28,5.5
Tangerine Wheat,2023,10,The Dram Shop Front St.,394.5,60,80.0,5.19,5.5
Tank 7,2023,10,The Dram Shop Central,418.3,37,54.0,7.95,7.0
Tartini,2023,10,The Dram Shop Central,9.63,2,2.0,5.5,5.5
Ten Fidy Barrel Aged Imperial Stout,2023,10,The Dram Shop Central,27.0,4,5.0,5.5,5.0
Tepache,2023,10,The Dram Shop Central,31.0,4,5.0,6.0,5.0
The Bob IPA,2023,10,The Dram Shop Front St.,678.29,85,120.0,5.79,6.0
The Capone,2023,10,The Dram Shop Front St.,261.82,43,50.0,5.35,5.5
Tiamo Inzolia,2023,10,The Dram Shop Front St.,472.65,45,66.0,7.63,7.0
Tippy Truck Honey Ale,2023,10,The Dram Shop Front St.,105.15,18,21.0,5.62,5.5
Together NEIPA,2023,10,The Dram Shop Front St.,52.14,4,9.0,5.89,6.75
Together New England Style IPA,2023,10,The Dram Shop Front St.,615.5,52,68.0,9.27,9.0
Torpedo IPA,2023,10,The Dram Shop Central,277.9,43,55.0,5.14,5.0
